"","Method","Noise","Choice","Measure","Mean","S.d."
"294","NMTF","2","Overall","F_score",0.955453715389524,0.024548064086377
"295","NMTF","2","Overall","BiS",0.587632723764756,0.0185855826996174
"296","NMTF","3","Overall","CSR",0.98287037037037,0.0246862719228533
"297","NMTF","3","Overall","Rel",0.902357736411519,0.0299458064683187
"298","NMTF","3","Overall","Rec",0.88390199115556,0.0535724242126579
"299","NMTF","3","Overall","F_score",0.892043513554589,0.0426904110168694
"300","NMTF","3","Overall","BiS",0.504364019842198,0.0213234334450204
"301","NMTF","4","Overall","CSR",0.947407407407407,0.0359280278310304
"302","NMTF","4","Overall","Rel",0.846869160304826,0.0343668120011558
"303","NMTF","4","Overall","Rec",0.789198625044906,0.0694564274649929
"304","NMTF","4","Overall","F_score",0.813519883358713,0.0542643076453441
"305","NMTF","4","Overall","BiS",0.445901282125827,0.021420487815761
"306","NMTF","5","Overall","CSR",0.906333333333333,0.0304963261834003
"307","NMTF","5","Overall","Rel",0.80535336630949,0.0295825260710746
"308","NMTF","5","Overall","Rec",0.704055732589178,0.0580311687139467
"309","NMTF","5","Overall","F_score",0.745768670664817,0.0451809645300011
"310","NMTF","5","Overall","BiS",0.404841544205018,0.0193892177072882
"311","NMTF","6","Overall","CSR",0.891685185185185,0.0375428378545976
"312","NMTF","6","Overall","Rel",0.785354271916832,0.0309531845423465
"313","NMTF","6","Overall","Rec",0.667598923444701,0.069549622451713
"314","NMTF","6","Overall","F_score",0.716008598194994,0.0530663525127779
"315","NMTF","6","Overall","BiS",0.375332482732723,0.0159309536470226
"316","NMTF","7","Overall","CSR",0.858768518518519,0.046486413790293
"317","NMTF","7","Overall","Rel",0.759016333975092,0.0301649805873694
"318","NMTF","7","Overall","Rec",0.60462921865736,0.0767058484005759
"319","NMTF","7","Overall","F_score",0.667227378390158,0.0570927863051429
"320","NMTF","7","Overall","BiS",0.348559124131191,0.0141951796226589
"321","NMTF","8","Overall","CSR",0.848407407407407,0.0422328371217132
"322","NMTF","8","Overall","Rel",0.746746260165048,0.0280030417148192
"323","NMTF","8","Overall","Rec",0.581358077949954,0.0724479442340625
"324","NMTF","8","Overall","F_score",0.648218574705594,0.0541869047267907
"325","NMTF","8","Overall","BiS",0.329510038241542,0.0144627587124712
"326","NMTF","9","Overall","CSR",0.823037037037037,0.034413556340678
"327","NMTF","9","Overall","Rel",0.726700245985353,0.0203046775492178
"328","NMTF","9","Overall","Rec",0.534253550610877,0.0525726288120843
"329","NMTF","9","Overall","F_score",0.611856997429834,0.0384443902949083
"330","NMTF","9","Overall","BiS",0.30800612174975,0.0123419509255679
"331","NMTF","10","Overall","CSR",0.818703703703704,0.0321478300656113
"332","NMTF","10","Overall","Rel",0.721878227197407,0.017533644026965
"333","NMTF","10","Overall","Rec",0.525312332094776,0.0493518578596147
"334","NMTF","10","Overall","F_score",0.604532246140179,0.0364094435991696
"335","NMTF","10","Overall","BiS",0.294362629201193,0.0104517992199612
"336","NMTF","20","Overall","CSR",0.787407407407408,0.0204831419144299
"337","NMTF","20","Overall","Rel",0.670809412782615,0.0144937964892809
"338","NMTF","20","Overall","Rec",0.451527264071645,0.0205728661837179
"339","NMTF","20","Overall","F_score",0.53893529688404,0.0148121714712097
"340","NMTF","20","Overall","BiS",0.195256695990889,0.00967483711185826
"341","NMTF","30","Overall","CSR",0.788018518518519,0.0222085083635134
"342","NMTF","30","Overall","Rel",0.638756498395113,0.0229134978052096
"343","NMTF","30","Overall","Rec",0.429413364268184,0.0162782110866339
"344","NMTF","30","Overall","F_score",0.512532722273115,0.0129244463908612
"345","NMTF","30","Overall","BiS",0.14149598949415,0.011000875709193
"346","NMTF","40","Overall","CSR",0.791333333333334,0.0292523918501284
"347","NMTF","40","Overall","Rel",0.601803420777717,0.0280022316021581
"348","NMTF","40","Overall","Rec",0.406483796290003,0.0179096239271604
"349","NMTF","40","Overall","F_score",0.483792075441258,0.0139942725191496
"350","NMTF","40","Overall","BiS",0.103637822671287,0.0100545153705603
"351","NMTF","50","Overall","CSR",0.793509259259259,0.0287106405216252
"352","NMTF","50","Overall","Rel",0.57017754281211,0.0258434929767795
"353","NMTF","50","Overall","Rec",0.388152018749459,0.0191379340802393
"354","NMTF","50","Overall","F_score",0.46043857257464,0.0158626439984658
"355","NMTF","50","Overall","BiS",0.078280922084951,0.00823632255913608
"356","NMTF","60","Overall","CSR",0.800268518518519,0.0366242179947274
"357","NMTF","60","Overall","Rel",0.533676324279627,0.0325845419264677
"358","NMTF","60","Overall","Rec",0.370332084569944,0.0214699393901108
"359","NMTF","60","Overall","F_score",0.435714664020953,0.0216346395007323
"360","NMTF","60","Overall","BiS",0.0583639154750827,0.0081444704315994
"361","NMTF","70","Overall","CSR",0.786993386243386,0.0505628734927039
"362","NMTF","70","Overall","Rel",0.512783945185945,0.0428671268849949
"363","NMTF","70","Overall","Rec",0.346790084421716,0.0268355431026909
"364","NMTF","70","Overall","F_score",0.411356473470928,0.0272736832897745
"365","NMTF","70","Overall","BiS",0.0453216378106305,0.00760732283928164
"366","NMTF","80","Overall","CSR",0.78384126984127,0.0461332581995955
"367","NMTF","80","Overall","Rel",0.493207106645115,0.0341578041236331
"368","NMTF","80","Overall","Rec",0.329077966854845,0.0261740532600936
"369","NMTF","80","Overall","F_score",0.392157664316278,0.023780877890775
"370","NMTF","80","Overall","BiS",0.0358789769258687,0.00647642036830976
"371","NMTF","90","Overall","CSR",0.758306878306878,0.0665821012685638
"372","NMTF","90","Overall","Rel",0.480772546893828,0.0464779346809809
"373","NMTF","90","Overall","Rec",0.305740189569988,0.0298854989975083
"374","NMTF","90","Overall","F_score",0.369078564018222,0.0297454696754711
"375","NMTF","90","Overall","BiS",0.0280330440784486,0.00629235392499832
"376","NMTF","100","Overall","CSR",0.753357142857143,0.0670630843239531
"377","NMTF","100","Overall","Rel",0.45904107217747,0.0522880195701732
"378","NMTF","100","Overall","Rec",0.290128403652333,0.0258706927271115
"379","NMTF","100","Overall","F_score",0.351305753311248,0.027444810288343
"380","NMTF","100","Overall","BiS",0.0205629981166356,0.00547715817805417
