month,tmax,tmin,af,rain,sun,season
7,28.2,16.7,0,23.6,266.4#,2
8,22.2,13.5,0,68.8,140.2#,2
9,22.7,14.5,0,78.2,153.9#,3
10,17.8,11.2,0,64.4,106.3#,3
11,12.7,5.4,2,98.0,97.0#,3
12,9.7,4.5,5,63.6,41.2#,0
1,10.5,5.1,2,56.0,56.6#,0
2,9.9,3.9,5,92.9,59.3#,0
3,12.5,4.4,2,43.8,164.7#,1
4,18.9,7.7,0,3.6,224.6#,1
5,17.9,9.7,0,80.0,149.6#,1
6,21.2,12.6,0,63.8,139.7#,2
7,21.4,13.1,0,115.2,159.9#,2
8,21.5,12.9,0,41.0,192.6#,2
9,19.9,11.4,0,17.4,141.1#,3
10,15.4,8.5,0,37.8,98.4#,3
11,11.4,4.6,3,84.8,81.3#,3
12,8.9,3.1,9,44.6,61.4#,0
1,10.4,4.7,0,69.0,60.2#,0
2,11.0,2.0,7,15.4,130.0#,0
3,10.6,3.7,2,69.8,85.7#,1
4,13.7,5.2,2,63.4,140.3#,1
5,19.8,10.5,0,64.2,162.6#,1
6,20.8,11.9,0,45.6,201.9#,2
7,22.8,13.7,0,76.8,172.5#,2
8,21.5,14.2,0,64.4,104.3#,2
9,18.5,11.2,0,43.0,110.7#,3
10,15.0,6.8,1,45.0,134.4#,3
11,10.7,5.2,2,58.8,42.2#,3
12,7.3,1.7,11,41.2,65.1#,0
1,6.8,0.3,13,72.4,63.2#,0
2,7.8,2.1,10,69.6,59.2#,0
3,12.9,3.7,2,30.0,158.5#,1
4,16.1,7.2,0,28.0,172.8#,1
